Library,Ordinal,Name,ReferenceExportKind,ModuleCount,Modules
GDI,64,CreateRectRgn,pascal,1,Down the Drain.ad
GDI,65,CreateRectRgnIndirect,pascal,1,Punch Out.ad
GDI,66,CreateSolidBrush,pascal,15,Aquatic Realm.ad.dll; Can of Worms.ad; Clocks.ad; Down the Drain.ad; GeoBounce.ad; Globe.ad; Gravity.ad; Marbles.ad; Mountains.ad; Nocturnes.ad; Penrose.ad; Shapes.ad; Stained Glass.ad; Swan Lake.ad; Vertigo.ad
GDI,68,DeleteDC,pascal,11,Aquatic Realm.ad.dll; Can of Worms.ad; Clocks.ad; Down the Drain.ad; GeoBounce.ad; Globe.ad; Gravity.ad; Marbles.ad; Nocturnes.ad; Punch Out.ad; Swan Lake.ad
GDI,69,DeleteObject,pascal,27,Aquatic Realm.ad.dll; Can of Worms.ad; Clocks.ad; Down the Drain.ad; Fade Away.ad; GeoBounce.ad; Globe.ad; GraphStat.ad; Gravity.ad; Hall of Mirrors.ad; Hard Rain.ad; Lasers.ad; Magic.ad; Marbles.ad; Mountains.ad; Nocturnes.ad; Penrose.ad; Punch Out.ad; Rainstorm.ad; Shapes.ad; Spiral Gyra.ad; Stained Glass.ad; String Theory.ad; Swan Lake.ad; Vertigo.ad; Wrap Around.ad; Zot!.ad
GDI,80,GetDeviceCaps,pascal,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
GDI,82,GetObject,pascal,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
GDI,83,GetPixel,pascal,1,GraphStat.ad
GDI,87,GetStockObject,pascal,28,Aquatic Realm.ad.dll; Can of Worms.ad; Clocks.ad; Down the Drain.ad; Fade Away.ad; GeoBounce.ad; Globe.ad; GraphStat.ad; Gravity.ad; Hard Rain.ad; Lasers.ad; Magic.ad; Marbles.ad; Mondrian.ad; Mountains.ad; Nocturnes.ad; Penrose.ad; Punch Out.ad; Rainstorm.ad; Shapes.ad; Sounder.ad; Spiral Gyra.ad; Stained Glass.ad; String Theory.ad; Swan Lake.ad; Vertigo.ad; Wrap Around.ad; Zot!.ad
GDI,91,GetTextExtent,pascal,1,Aquatic Realm.ad.dll
GDI,97,GetWindowOrg,pascal,1,Stained Glass.ad
GDI,99,LPtoDP,pascal,1,Penrose.ad
GDI,101,OffsetRgn,pascal,1,Penrose.ad
GDI,134,GetRgnBox,pascal,1,Penrose.ad
GDI,181,RectInRegionOld,pascal,1,Penrose.ad
GDI,346,SetTextAlign,pascal,29,Aquatic Realm.ad.dll; Can of Worms.ad; Clocks.ad; Down the Drain.ad; Fade Away.ad; GeoBounce.ad; Globe.ad; GraphStat.ad; Gravity.ad; Hall of Mirrors.ad; Hard Rain.ad; Lasers.ad; Magic.ad; Marbles.ad; Mondrian.ad; Mountains.ad; Nocturnes.ad; Penrose.ad; Punch Out.ad; Rainstorm.ad; Shapes.ad; Sounder.ad; Spiral Gyra.ad; Stained Glass.ad; String Theory.ad; Swan Lake.ad; Vertigo.ad; Wrap Around.ad; Zot!.ad
GDI,360,CreatePalette,pascal,2,Globe.ad; Vertigo.ad
GDI,364,SetPaletteEntries,pascal,1,Globe.ad
GDI,367,AnimatePalette,pascal,2,Mountains.ad; Vertigo.ad
GDI,442,CreateDIBitmap,pascal,1,Globe.ad
GDI,443,SetDIBitsToDevice,pascal,1,Globe.ad
KERNEL,1,FatalExit,stub,23,Can of Worms.ad; Down the Drain.ad; Fade Away.ad; GeoBounce.ad; GraphStat.ad; Gravity.ad; Hard Rain.ad; Lasers.ad; Magic.ad; Mondrian.ad; Mountains.ad; Nocturnes.ad; Penrose.ad; Punch Out.ad; Rainstorm.ad; Shapes.ad; Sounder.ad; Spiral Gyra.ad; Stained Glass.ad; String Theory.ad; Vertigo.ad; Wrap Around.ad; Zot!.ad
KERNEL,3,GetVersion,pascal,1,Penrose.ad
KERNEL,4,LocalInit,pascal,29,Aquatic Realm.ad.dll; Can of Worms.ad; Clocks.ad; Down the Drain.ad; Fade Away.ad; GeoBounce.ad; Globe.ad; GraphStat.ad; Gravity.ad; Hall of Mirrors.ad; Hard Rain.ad; Lasers.ad; Magic.ad; Marbles.ad; Mondrian.ad; Mountains.ad; Nocturnes.ad; Penrose.ad; Punch Out.ad; Rainstorm.ad; Shapes.ad; Sounder.ad; Spiral Gyra.ad; Stained Glass.ad; String Theory.ad; Swan Lake.ad; Vertigo.ad; Wrap Around.ad; Zot!.ad
KERNEL,5,LocalAlloc,pascal,8,Globe.ad; Lasers.ad; Magic.ad; Mountains.ad; Sounder.ad; String Theory.ad; Vertigo.ad; Zot!.ad
KERNEL,6,LocalReAlloc,pascal,1,Sounder.ad
KERNEL,7,LocalFree,pascal,8,Globe.ad; Lasers.ad; Magic.ad; Mountains.ad; Sounder.ad; String Theory.ad; Vertigo.ad; Zot!.ad
KERNEL,8,LocalLock,pascal,6,Lasers.ad; Magic.ad; Mountains.ad; String Theory.ad; Vertigo.ad; Zot!.ad
KERNEL,9,LocalUnlock,pascal,6,Lasers.ad; Magic.ad; Mountains.ad; String Theory.ad; Vertigo.ad; Zot!.ad
KERNEL,15,GlobalAlloc,pascal,9,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; GraphStat.ad; Hall of Mirrors.ad; Marbles.ad; Penrose.ad; Sounder.ad; Swan Lake.ad
KERNEL,16,GlobalReAlloc,pascal,7,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Hall of Mirrors.ad; Marbles.ad; Sounder.ad; Swan Lake.ad
KERNEL,17,GlobalFree,pascal,9,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; GraphStat.ad; Hall of Mirrors.ad; Marbles.ad; Penrose.ad; Sounder.ad; Swan Lake.ad
KERNEL,18,GlobalLock,pascal,29,Aquatic Realm.ad.dll; Can of Worms.ad; Clocks.ad; Down the Drain.ad; Fade Away.ad; GeoBounce.ad; Globe.ad; GraphStat.ad; Gravity.ad; Hall of Mirrors.ad; Hard Rain.ad; Lasers.ad; Magic.ad; Marbles.ad; Mondrian.ad; Mountains.ad; Nocturnes.ad; Penrose.ad; Punch Out.ad; Rainstorm.ad; Shapes.ad; Sounder.ad; Spiral Gyra.ad; Stained Glass.ad; String Theory.ad; Swan Lake.ad; Vertigo.ad; Wrap Around.ad; Zot!.ad
KERNEL,19,GlobalUnlock,pascal,29,Aquatic Realm.ad.dll; Can of Worms.ad; Clocks.ad; Down the Drain.ad; Fade Away.ad; GeoBounce.ad; Globe.ad; GraphStat.ad; Gravity.ad; Hall of Mirrors.ad; Hard Rain.ad; Lasers.ad; Magic.ad; Marbles.ad; Mondrian.ad; Mountains.ad; Nocturnes.ad; Penrose.ad; Punch Out.ad; Rainstorm.ad; Shapes.ad; Sounder.ad; Spiral Gyra.ad; Stained Glass.ad; String Theory.ad; Swan Lake.ad; Vertigo.ad; Wrap Around.ad; Zot!.ad
KERNEL,21,GlobalHandle,pascal,6,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Hall of Mirrors.ad; Marbles.ad; Swan Lake.ad
KERNEL,23,LockSegment,pascal,3,Aquatic Realm.ad.dll; Globe.ad; Sounder.ad
KERNEL,24,UnlockSegment,pascal,6,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Sounder.ad; Swan Lake.ad
KERNEL,25,GlobalCompact,pascal,1,Aquatic Realm.ad.dll
KERNEL,49,GetModuleFileName,pascal,6,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Hall of Mirrors.ad; Marbles.ad; Swan Lake.ad
KERNEL,51,MakeProcInstance,pascal,2,Globe.ad; Sounder.ad
KERNEL,52,FreeProcInstance,pascal,2,Globe.ad; Sounder.ad
KERNEL,63,FreeResource,pascal,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
KERNEL,74,OpenFile,pascal,2,Globe.ad; GraphStat.ad
KERNEL,81,_lclose,pascal,3,Globe.ad; GraphStat.ad; Sounder.ad
KERNEL,82,_lread,pascal,2,Globe.ad; GraphStat.ad
KERNEL,84,_llseek,pascal,2,Globe.ad; GraphStat.ad
KERNEL,85,_lopen,pascal,2,Globe.ad; Sounder.ad
KERNEL,86,_lwrite,pascal,1,Globe.ad
KERNEL,88,lstrcpy,pascal,10,Aquatic Realm.ad.dll; Clocks.ad; GeoBounce.ad; Globe.ad; GraphStat.ad; Hall of Mirrors.ad; Marbles.ad; Penrose.ad; Sounder.ad; Swan Lake.ad
KERNEL,89,lstrcat,pascal,1,Sounder.ad
KERNEL,90,lstrlen,pascal,1,Globe.ad
KERNEL,95,LoadLibrary,pascal,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
KERNEL,111,GlobalWire,pascal,1,Penrose.ad
KERNEL,112,GlobalUnWire,pascal,1,Penrose.ad
KERNEL,113,__AHSHIFT,equate,1,Globe.ad
KERNEL,115,OutputDebugString,pascal,23,Can of Worms.ad; Down the Drain.ad; Fade Away.ad; GeoBounce.ad; GraphStat.ad; Gravity.ad; Hard Rain.ad; Lasers.ad; Magic.ad; Mondrian.ad; Mountains.ad; Nocturnes.ad; Penrose.ad; Punch Out.ad; Rainstorm.ad; Shapes.ad; Sounder.ad; Spiral Gyra.ad; Stained Glass.ad; String Theory.ad; Vertigo.ad; Wrap Around.ad; Zot!.ad
KERNEL,127,GetPrivateProfileInt,pascal,1,Sounder.ad
KERNEL,128,GetPrivateProfileString,pascal,3,Clocks.ad; Globe.ad; Sounder.ad
KERNEL,129,WritePrivateProfileString,pascal,2,Globe.ad; Sounder.ad
KERNEL,131,GetDOSEnvironment,pascal,29,Aquatic Realm.ad.dll; Can of Worms.ad; Clocks.ad; Down the Drain.ad; Fade Away.ad; GeoBounce.ad; Globe.ad; GraphStat.ad; Gravity.ad; Hall of Mirrors.ad; Hard Rain.ad; Lasers.ad; Magic.ad; Marbles.ad; Mondrian.ad; Mountains.ad; Nocturnes.ad; Penrose.ad; Punch Out.ad; Rainstorm.ad; Shapes.ad; Sounder.ad; Spiral Gyra.ad; Stained Glass.ad; String Theory.ad; Swan Lake.ad; Vertigo.ad; Wrap Around.ad; Zot!.ad
KERNEL,132,GetWinFlags,pascal,6,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Hall of Mirrors.ad; Marbles.ad; Swan Lake.ad
KERNEL,134,GetWindowsDirectory,pascal,1,GraphStat.ad
KERNEL,137,FatalAppExit,pascal,23,Can of Worms.ad; Down the Drain.ad; Fade Away.ad; GeoBounce.ad; GraphStat.ad; Gravity.ad; Hard Rain.ad; Lasers.ad; Magic.ad; Mondrian.ad; Mountains.ad; Nocturnes.ad; Penrose.ad; Punch Out.ad; Rainstorm.ad; Shapes.ad; Sounder.ad; Spiral Gyra.ad; Stained Glass.ad; String Theory.ad; Vertigo.ad; Wrap Around.ad; Zot!.ad
KERNEL,166,WinExec,pascal,1,GraphStat.ad
USER,1,MessageBox,pascal,6,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Hall of Mirrors.ad; Marbles.ad; Swan Lake.ad
USER,6,PostQuitMessage,pascal,1,Mountains.ad
USER,13,GetTickCount,pascal,12,Aquatic Realm.ad.dll; Can of Worms.ad; GeoBounce.ad; GraphStat.ad; Gravity.ad; Hall of Mirrors.ad; Marbles.ad; Mondrian.ad; Nocturnes.ad; Spiral Gyra.ad; Swan Lake.ad; Wrap Around.ad
USER,15,GetCurrentTime,pascal,7,Can of Worms.ad; Clocks.ad; Gravity.ad; Mountains.ad; Sounder.ad; Vertigo.ad; Zot!.ad
USER,32,GetWindowRect,pascal,2,Globe.ad; Sounder.ad
USER,34,EnableWindow,pascal,2,Globe.ad; Sounder.ad
USER,38,GetWindowTextLength,pascal,1,Globe.ad
USER,47,IsWindow,pascal,2,Globe.ad; Sounder.ad
USER,56,MoveWindow,pascal,2,Globe.ad; Sounder.ad
USER,72,SetRect,pascal,28,Aquatic Realm.ad.dll; Can of Worms.ad; Clocks.ad; Down the Drain.ad; Fade Away.ad; GeoBounce.ad; Globe.ad; GraphStat.ad; Gravity.ad; Hard Rain.ad; Lasers.ad; Magic.ad; Marbles.ad; Mondrian.ad; Mountains.ad; Nocturnes.ad; Penrose.ad; Punch Out.ad; Rainstorm.ad; Shapes.ad; Sounder.ad; Spiral Gyra.ad; Stained Glass.ad; String Theory.ad; Swan Lake.ad; Vertigo.ad; Wrap Around.ad; Zot!.ad
USER,74,CopyRect,pascal,2,Mountains.ad; Vertigo.ad
USER,75,IsRectEmpty,pascal,1,Can of Worms.ad
USER,76,PtInRect,pascal,2,Penrose.ad; Rainstorm.ad
USER,77,OffsetRect,pascal,4,Can of Worms.ad; Penrose.ad; Stained Glass.ad; Swan Lake.ad
USER,78,InflateRect,pascal,1,Stained Glass.ad
USER,79,IntersectRect,pascal,4,Aquatic Realm.ad.dll; Can of Worms.ad; Down the Drain.ad; Stained Glass.ad
USER,81,FillRect,pascal,26,Aquatic Realm.ad.dll; Clocks.ad; Down the Drain.ad; Fade Away.ad; GeoBounce.ad; Globe.ad; GraphStat.ad; Gravity.ad; Hard Rain.ad; Lasers.ad; Magic.ad; Marbles.ad; Mondrian.ad; Mountains.ad; Nocturnes.ad; Penrose.ad; Rainstorm.ad; Shapes.ad; Sounder.ad; Spiral Gyra.ad; Stained Glass.ad; String Theory.ad; Swan Lake.ad; Vertigo.ad; Wrap Around.ad; Zot!.ad
USER,82,InvertRect,pascal,3,Mondrian.ad; Rainstorm.ad; Stained Glass.ad
USER,83,FrameRect,pascal,1,Stained Glass.ad
USER,87,DialogBox,pascal,2,Globe.ad; Sounder.ad
USER,88,EndDialog,pascal,2,Globe.ad; Sounder.ad
USER,91,GetDlgItem,pascal,2,Globe.ad; Sounder.ad
USER,92,SetDlgItemText,pascal,1,Globe.ad
USER,93,GetDlgItemText,pascal,2,Globe.ad; Sounder.ad
USER,99,DlgDirSelect,pascal,2,Globe.ad; Sounder.ad
